id	description	condition	B1_G1	B1_S	B1_G2	B2_G1	B2_S	B2_G2	B3_S	B3_G1	B3_G2	sumUniPeps	sumPSMs	countNum
O75340	Programmed cell death protein 6 OS=Homo sapiens OX=9606 GN=PDCD6 PE=1 SV=1	50C	858	800	823.8	824	823.1	674.9	848.9	822.6	739.2	8	15	10
P25787	Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2	50C	2592.8	2232.2	3317.5	2900.2	2239.7	2747.2	2195.2	2743.3	3241.9	13	64	18
P25788	Proteasome subunit alpha type-3 OS=Homo sapiens OX=9606 GN=PSMA3 PE=1 SV=2	50C	3725.7	3113.3	4606.8	4135.7	3205.6	3792.9	3025.3	3983.7	4524.6	14	78	17
P25789	Proteasome subunit alpha type-4 OS=Homo sapiens OX=9606 GN=PSMA4 PE=1 SV=1	50C	5507.7	4731.5	6622.7	6344.4	4721.5	6108.4	3647.7	5911.2	6873	11	72	20
O14818	Proteasome subunit alpha type-7 OS=Homo sapiens OX=9606 GN=PSMA7 PE=1 SV=1	50C	2983.2	2541	3734.1	3446.1	2748.9	3275.8	2580.5	3397.9	3930.1	5	62	17
P11171	Protein 4.1 OS=Homo sapiens OX=9606 GN=EPB41 PE=1 SV=4	50C	2200.6	2571.1	2080.9	2140.3	2737.7	2099	2937.9	2164.2	2685.3	27	51	29
O60678	Protein arginine N-methyltransferase 3 OS=Homo sapiens OX=9606 GN=PRMT3 PE=1 SV=4	50C	675.4	657.5	616.5	685.1	689.6	654	721.6	655.4	789.2	13	18	11
O14744	Protein arginine N-methyltransferase 5 OS=Homo sapiens OX=9606 GN=PRMT5 PE=1 SV=4	50C	2612.3	2355.5	3277.1	2921	2326.9	2939.5	2259	2897.3	3257.7	25	75	31
O15234	Protein CASC3 OS=Homo sapiens OX=9606 GN=CASC3 PE=1 SV=2	50C	338	304.1	385.3	320.2	312.1	345.6	295.3	323.1	409	6	9	6
O75081	Protein CBFA2T3 OS=Homo sapiens OX=9606 GN=CBFA2T3 PE=1 SV=2	50C	501.4	619.5	574.7	544.6	691.5	522	769.8	487.2	568.7	10	15	12
O75629	Protein CREG1 OS=Homo sapiens OX=9606 GN=CREG1 PE=1 SV=1	50C	437.6	445.7	516.4	537.6	402.5	519.4	428	508.2	501.9	4	12	4
O60610	Protein diaphanous homolog 1 OS=Homo sapiens OX=9606 GN=DIAPH1 PE=1 SV=2	50C	1642.9	1987.7	1956.2	1807.8	2099.4	1876.8	2278.1	1817.4	2288.8	28	46	30
P13667	Protein disulfide-isomerase A4 OS=Homo sapiens OX=9606 GN=PDIA4 PE=1 SV=2	50C	6879.6	7344.6	6842.1	6667.1	8311.4	5866.4	8778.9	6702.8	6323.3	33	121	42
P07237	Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3	50C	9796.4	8667	11851	11013.8	8791.4	10471.4	8474.9	10624.6	10634	29	164	41
O94915	Protein furry homolog-like OS=Homo sapiens OX=9606 GN=FRYL PE=1 SV=2	50C	1140	965.8	1654	1386.1	941.5	1593.4	798.5	1516.2	1930.9	19	29	22
O94992	Protein HEXIM1 OS=Homo sapiens OX=9606 GN=HEXIM1 PE=1 SV=1	50C	533.5	487.4	866	748.9	524.3	814.7	496.9	735.8	1010.2	8	15	8
O43482	Protein Mis18-beta OS=Homo sapiens OX=9606 GN=OIP5 PE=1 SV=2	50C	296.9	311.8	385.2	363.8	310.7	344.4	296.7	340.2	394.7	6	8	5
O75323	Protein NipSnap homolog 2 OS=Homo sapiens OX=9606 GN=NIPSNAP2 PE=1 SV=1	50C	1038	974.9	996	979.1	941.2	938.1	917.7	980.7	1161.5	9	20	9
O60502	Protein O-GlcNAcase OS=Homo sapiens OX=9606 GN=OGA PE=1 SV=2	50C	1093.9	821.3	1123.9	1076	836	992.7	828.5	1137.8	1203.2	17	22	12
O14974	Protein phosphatase 1 regulatory subunit 12A OS=Homo sapiens OX=9606 GN=PPP1R12A PE=1 SV=1	50C	1625.4	1395.7	1520	1551.1	1205.3	1444.8	1308.1	1534.5	1709.4	2	27	19
O75688	Protein phosphatase 1B OS=Homo sapiens OX=9606 GN=PPM1B PE=1 SV=1	50C	1220.9	1027.9	1247.4	1301	1036.3	1206	1068.7	1268.5	1436	2	23	14
O15355	Protein phosphatase 1G OS=Homo sapiens OX=9606 GN=PPM1G PE=1 SV=1	50C	954.6	1244.6	957.4	900.1	1587.3	858.4	1885.6	868	1053.4	18	36	19
O43663	Protein regulator of cytokinesis 1 OS=Homo sapiens OX=9606 GN=PRC1 PE=1 SV=2	50C	78.3	76.8	94.3	80.9	94.8	100.4	103.7	93.8	107.6	4	6	3
O15258	Protein RER1 OS=Homo sapiens OX=9606 GN=RER1 PE=1 SV=1	50C	121.7	171	186.2	151.8	143.3	180.6	124.5	159.6	215.2	2	4	2
A3KN83	Protein strawberry notch homolog 1 OS=Homo sapiens OX=9606 GN=SBNO1 PE=1 SV=1	50C	1693.8	1764.5	2212.4	1938.7	1775.7	2199	1740.5	2059.1	2662.3	30	38	27
O95486	Protein transport protein Sec24A OS=Homo sapiens OX=9606 GN=SEC24A PE=1 SV=2	50C	165.8	177.9	166.6	201	180.1	202.7	217.7	204	308.1	6	7	5
O94979	Protein transport protein Sec31A OS=Homo sapiens OX=9606 GN=SEC31A PE=1 SV=3	50C	1328.1	1719.6	1486.8	1352.1	1685.6	1425.3	1814.3	1395.5	1592.3	23	36	22
A6NIH7	Protein unc-119 homolog B OS=Homo sapiens OX=9606 GN=UNC119B PE=1 SV=1	50C	121.6	123.8	132.5	122	120.9	133.4	125.3	127.3	152.1	2	2	2
O60232	Protein ZNRD2 OS=Homo sapiens OX=9606 GN=ZNRD2 PE=1 SV=1	50C	859.7	769.9	1231.3	1078.9	819.6	1113.8	750.4	1069.2	1385.9	6	15	6
P21980	Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens OX=9606 GN=TGM2 PE=1 SV=2	50C	3794.5	2611	3541.8	3907	2679.4	3438.9	2795.2	3821.4	4044.7	24	65	29
P00491	Purine nucleoside phosphorylase OS=Homo sapiens OX=9606 GN=PNP PE=1 SV=2	50C	3471.5	3009.4	4304.5	3952.9	3094.6	4252.7	3181.9	4117.2	4977.4	16	94	28
O00764	Pyridoxal kinase OS=Homo sapiens OX=9606 GN=PDXK PE=1 SV=1	50C	1544.5	1289.9	1878.7	1696	1318.6	1673.4	1256.1	1641.3	2023.1	11	41	15
O94903	Pyridoxal phosphate homeostasis protein OS=Homo sapiens OX=9606 GN=PLPBP PE=1 SV=1	50C	348.9	361.5	370.9	408.1	431.2	413.7	416.7	389.8	476.2	5	7	5
P11498	Pyruvate carboxylase, mitochondrial OS=Homo sapiens OX=9606 GN=PC PE=1 SV=2	50C	704.3	621.6	620.5	667.8	565	660.5	598.8	694	764.6	16	19	14
P11177	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=PDHB PE=1 SV=3	50C	1538.9	1487.8	1581.4	1490.7	1348	1394.4	1469	1470.2	1633.8	10	27	12
O00330	Pyruvate dehydrogenase protein X component, mitochondrial OS=Homo sapiens OX=9606 GN=PDHX PE=1 SV=3	50C	1814.9	1651.2	2233.7	2265.3	1756.5	2063.8	1780	2197.3	2428.2	18	40	15
P14618	Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4	50C	15243.1	13366.1	19422.8	16963.5	12844.4	18034.7	11911.6	16038.4	20859.1	3	263	49
O95825	Quinone oxidoreductase-like protein 1 OS=Homo sapiens OX=9606 GN=CRYZL1 PE=1 SV=2	50C	1620.3	1349.8	1984	1772.1	1383	1756.9	1405.3	1823.2	2061.6	12	27	13
O43504	Ragulator complex protein LAMTOR5 OS=Homo sapiens OX=9606 GN=LAMTOR5 PE=1 SV=1	50C	326.8	328.3	337.3	357.1	303.2	370.5	389.7	349.9	400.6	5	10	6
P15153	Ras-related C3 botulinum toxin substrate 2 OS=Homo sapiens OX=9606 GN=RAC2 PE=1 SV=1	50C	328.5	330.8	377.4	371.4	432.1	348.5	389.8	442.3	459.2	4	8	4
P20338	Ras-related protein Rab-4A OS=Homo sapiens OX=9606 GN=RAB4A PE=1 SV=3	50C	285.2	332.3	382.1	312.5	339.2	358.5	341.2	357.5	477.9	4	16	5
P20339	Ras-related protein Rab-5A OS=Homo sapiens OX=9606 GN=RAB5A PE=1 SV=2	50C	662.6	733.9	826	767.3	761.6	809.4	742.4	784.5	1006.6	6	31	11
A6NED2	RCC1 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=RCCD1 PE=1 SV=1	50C	330.9	272.7	364.8	333.3	296.3	356.3	326.4	373.5	394.2	6	6	5
O94788	Retinal dehydrogenase 2 OS=Homo sapiens OX=9606 GN=ALDH1A2 PE=1 SV=3	50C	2907.2	2474.9	3942.4	3336.3	2359.6	3643	2404.8	3322.9	4270.1	15	61	20
P06400	Retinoblastoma-associated protein OS=Homo sapiens OX=9606 GN=RB1 PE=1 SV=2	50C	2490.5	2520.8	3238.2	2579.3	2436.6	3059.2	2427.9	2569.1	3451.8	28	50	27
O75116	Rho-associated protein kinase 2 OS=Homo sapiens OX=9606 GN=ROCK2 PE=1 SV=4	50C	1177.4	1409.8	1294.2	1314	1413.4	1302.1	1560.8	1259.2	1458.9	23	29	20
O75792	Ribonuclease H2 subunit A OS=Homo sapiens OX=9606 GN=RNASEH2A PE=1 SV=2	50C	430.9	454.6	384.6	374.1	483.3	345.1	513.8	367.4	362.5	9	11	9
P13489	Ribonuclease inhibitor OS=Homo sapiens OX=9606 GN=RNH1 PE=1 SV=2	50C	3128.9	2896.1	3696	3564.7	2861.3	3561.2	3029.2	3675	4126.7	21	68	25
O75817	Ribonuclease P protein subunit p20 OS=Homo sapiens OX=9606 GN=POP7 PE=1 SV=2	50C	230.9	229.8	266.7	238.3	230.4	244.5	224.6	253.4	297.8	4	4	4
O00584	Ribonuclease T2 OS=Homo sapiens OX=9606 GN=RNASET2 PE=1 SV=2	50C	789.3	616	892.2	872.7	642.4	791.1	699.5	990.6	981.7	9	17	9
P23921	Ribonucleoside-diphosphate reductase large subunit OS=Homo sapiens OX=9606 GN=RRM1 PE=1 SV=1	50C	8743.8	8081.9	12141.1	10103	8247.1	10711.5	7328.5	9740.3	12609.5	35	172	46
O60524	Ribosome quality control complex subunit NEMF OS=Homo sapiens OX=9606 GN=NEMF PE=1 SV=4	50C	705	1115.3	724.3	667.9	1120.2	632.7	1128.2	642.2	671.9	13	17	11
P16083	Ribosyldihydronicotinamide dehydrogenase [quinone] OS=Homo sapiens OX=9606 GN=NQO2 PE=1 SV=5	50C	1091.6	841.7	1252.6	1225.4	918.3	1180	941.9	1250.3	1406.3	8	22	9
P22087	rRNA 2'-O-methyltransferase fibrillarin OS=Homo sapiens OX=9606 GN=FBL PE=1 SV=2	50C	634.1	1229.5	426	465.4	1521.6	429.3	1421.4	420.7	406.6	11	20	9
O43865	S-adenosylhomocysteine hydrolase-like protein 1 OS=Homo sapiens OX=9606 GN=AHCYL1 PE=1 SV=2	50C	924.9	786.3	965.8	867	682.5	782.6	642.8	890.1	847.2	13	26	13
P10768	S-formylglutathione hydrolase OS=Homo sapiens OX=9606 GN=ESD PE=1 SV=2	50C	4147	3512.2	5097.8	4513.2	3538.7	4692.2	3390.3	4543	5605.3	11	55	12
O14828	Secretory carrier-associated membrane protein 3 OS=Homo sapiens OX=9606 GN=SCAMP3 PE=1 SV=3	50C	160.5	177.2	207.5	199.1	201.3	178.5	206.8	184.2	207	4	6	4
O60613	Selenoprotein F OS=Homo sapiens OX=9606 GN=SELENOF PE=1 SV=4	50C	195.8	153.4	179.6	183.3	164.8	163.4	175.7	181.4	162.3	4	7	2
P07477	Serine protease 1 OS=Homo sapiens OX=9606 GN=PRSS1 PE=1 SV=1	50C	3029.5	2873.8	3422.8	3028.8	2941.7	2707.6	2294.4	2730.9	2420	1	58	7
P10398	Serine/threonine-protein kinase A-Raf OS=Homo sapiens OX=9606 GN=ARAF PE=1 SV=2	50C	66.1	70.3	62.7	57.9	67.6	60.2	84.8	52.3	82.2	3	6	2
O14757	Serine/threonine-protein kinase Chk1 OS=Homo sapiens OX=9606 GN=CHEK1 PE=1 SV=2	50C	556	809.4	893.3	689.4	891.4	1091.3	857.9	865.7	1540.1	15	24	13
O95835	Serine/threonine-protein kinase LATS1 OS=Homo sapiens OX=9606 GN=LATS1 PE=1 SV=1	50C	98.8	101.2	126.6	95.4	85.7	120.8	79.3	109.6	117.6	3	4	2
O95747	Serine/threonine-protein kinase OSR1 OS=Homo sapiens OX=9606 GN=OXSR1 PE=1 SV=1	50C	523.7	636.3	484	503.8	653.5	527.8	786.9	498.7	587.4	13	20	10
O96013	Serine/threonine-protein kinase PAK 4 OS=Homo sapiens OX=9606 GN=PAK4 PE=1 SV=1	50C	442.7	362.8	505.7	471.1	379.5	495.4	334.4	538.7	629	8	10	8
O15084	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A OS=Homo sapiens OX=9606 GN=ANKRD28 PE=1 SV=5	50C	561.5	593.1	630.5	596.6	606.4	664.8	625.6	650.2	744.6	13	16	12
O75170	Serine/threonine-protein phosphatase 6 regulatory subunit 2 OS=Homo sapiens OX=9606 GN=PPP6R2 PE=1 SV=2	50C	303.1	271.1	329.2	315.9	297.8	319.2	283.8	340.4	359.5	10	16	6
A0MZ66	Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4	50C	1590.2	1547.9	1667.6	1645.8	1607.8	1519.6	1586.7	1550.1	1818.1	18	23	18
P16219	Short-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADS PE=1 SV=1	50C	1464.1	1092.7	1414	1460.8	1059.9	1279.4	1064.6	1556	1462.1	12	25	11
P09132	Signal recognition particle 19 kDa protein OS=Homo sapiens OX=9606 GN=SRP19 PE=1 SV=3	50C	493	538.5	412	398.1	617.9	339.2	608.3	393.7	376.1	3	8	4
P08240	Signal recognition particle receptor subunit alpha OS=Homo sapiens OX=9606 GN=SRPRA PE=1 SV=2	50C	428.9	698.5	463.1	441.3	942.8	483	1026.9	481.3	541.1	11	13	11
O00193	Small acidic protein OS=Homo sapiens OX=9606 GN=SMAP PE=1 SV=1	50C	2411.8	1993.2	2862.4	2608.9	1867.6	2555.5	1845.9	2403.5	2994.4	5	28	9
O43765	Small glutamine-rich tetratricopeptide repeat-containing protein alpha OS=Homo sapiens OX=9606 GN=SGTA PE=1 SV=1	50C	2197.1	2208.2	2602.1	2485.7	2445.6	2393.4	2303.8	2421.1	2634.1	12	47	19
P11166	Solute carrier family 2, facilitated glucose transporter member 1 OS=Homo sapiens OX=9606 GN=SLC2A1 PE=1 SV=2	50C	229.6	266.7	256.5	245.3	263	231.9	274.7	247.4	231.5	4	9	4
O60749	Sorting nexin-2 OS=Homo sapiens OX=9606 GN=SNX2 PE=1 SV=2	50C	1414.3	1405.4	1356.8	1324.7	1364.4	1311.1	1530.3	1370.9	1548.1	13	29	12
O60493	Sorting nexin-3 OS=Homo sapiens OX=9606 GN=SNX3 PE=1 SV=3	50C	339.7	460	373.7	363.2	477.3	374.6	498.2	358.6	414.6	6	16	7
P02549	Spectrin alpha chain, erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTA1 PE=1 SV=5	50C	828.5	956	883.9	859.9	946.3	788.8	1091.1	826.7	966.1	29	31	23
O75391	Sperm-associated antigen 7 OS=Homo sapiens OX=9606 GN=SPAG7 PE=1 SV=2	50C	1003.8	821.1	1144.4	1100.5	830.4	1015.4	793.8	1028.3	1143.8	10	18	12
P19623	Spermidine synthase OS=Homo sapiens OX=9606 GN=SRM PE=1 SV=1	50C	2059.1	1947.6	2822.9	2454.5	1877.1	2546.4	1767.2	2412.5	2850.2	15	66	21
O75533	Splicing factor 3B subunit 1 OS=Homo sapiens OX=9606 GN=SF3B1 PE=1 SV=3	50C	3632.4	3617	3829.1	3611.4	3704.6	3581.1	3786.4	3505.4	4101.2	39	72	41
P23246	Splicing factor, proline- and glutamine-rich OS=Homo sapiens OX=9606 GN=SFPQ PE=1 SV=2	50C	2267.2	2820.4	2326.6	2035.4	3538.1	2126.3	3866.5	2144.3	2469.2	23	52	29
O95104	SR-related and CTD-associated factor 4 OS=Homo sapiens OX=9606 GN=SCAF4 PE=1 SV=3	50C	454.7	484.2	441.9	363.2	469.7	349.4	557.1	380.3	431.3	7	11	6
O95630	STAM-binding protein OS=Homo sapiens OX=9606 GN=STAMBP PE=1 SV=1	50C	312.6	316.2	328	301.3	360.8	305.4	368.4	315.3	377.2	6	6	4
P22307	Sterol carrier protein 2 OS=Homo sapiens OX=9606 GN=SCP2 PE=1 SV=2	50C	2520.5	2287.7	2963.3	2896.6	2301.8	2926.7	2275.7	2827.4	2960.6	18	42	21
O43815	Striatin OS=Homo sapiens OX=9606 GN=STRN PE=1 SV=4	50C	1815.3	1563.5	1823.1	1794.7	1635.8	1676.7	1741.8	1822	2029.2	23	38	22
O95347	Structural maintenance of chromosomes protein 2 OS=Homo sapiens OX=9606 GN=SMC2 PE=1 SV=2	50C	1834.4	2192.1	1882.7	1794.7	2369.5	1907.3	2734.5	1784.5	2178.2	34	45	29
P21912	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial OS=Homo sapiens OX=9606 GN=SDHB PE=1 SV=3	50C	370.2	538.2	409.2	394.9	699.9	374.5	806.5	406.3	376	8	14	8
O14508	Suppressor of cytokine signaling 2 OS=Homo sapiens OX=9606 GN=SOCS2 PE=1 SV=1	50C	615.8	519.9	725.8	690.4	556.4	725.4	486.3	778.1	781.1	9	12	8
O75683	Surfeit locus protein 6 OS=Homo sapiens OX=9606 GN=SURF6 PE=1 SV=3	50C	972.3	1310.7	1069.7	899.9	1134.8	867.6	879	993.7	609	13	22	10
O75940	Survival of motor neuron-related-splicing factor 30 OS=Homo sapiens OX=9606 GN=SMNDC1 PE=1 SV=1	50C	775.5	743.3	1014.3	1032.5	834.2	994.8	817.2	981.2	1123.8	7	16	8
O60264	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Homo sapiens OX=9606 GN=SMARCA5 PE=1 SV=1	50C	540.8	698.7	599.5	553.7	720.3	621.7	856.6	543.5	659.9	12	21	14
O15498	Synaptobrevin homolog YKT6 OS=Homo sapiens OX=9606 GN=YKT6 PE=1 SV=1	50C	1126.4	1029.5	1412.7	1280.5	1030.8	1294.4	972	1260.6	1508.9	9	25	10
O00161	Synaptosomal-associated protein 23 OS=Homo sapiens OX=9606 GN=SNAP23 PE=1 SV=1	50C	1273.3	1179.5	1670.3	1462.8	1221.4	1523.1	1301.7	1377.3	1720.9	12	23	14
O95721	Synaptosomal-associated protein 29 OS=Homo sapiens OX=9606 GN=SNAP29 PE=1 SV=1	50C	3671.6	3685.4	3933.5	3639.3	3823.6	3345.2	3711	3282.5	3816.6	13	65	22
P17542	T-cell acute lymphocytic leukemia protein 1 OS=Homo sapiens OX=9606 GN=TAL1 PE=1 SV=2	50C	388.5	422.3	336.9	317.9	384.2	283.2	387.7	285.1	310.7	5	8	5
P17987	T-complex protein 1 subunit alpha OS=Homo sapiens OX=9606 GN=TCP1 PE=1 SV=1	50C	12180.2	11066.8	14789.2	13656	11432.4	13933.1	10893.7	13137	16524.1	31	269	49
O60784	Target of Myb1 membrane trafficking protein OS=Homo sapiens OX=9606 GN=TOM1 PE=1 SV=2	50C	306	283.8	230.5	227.7	281.6	205	301.8	251.1	235.6	5	7	5
O60343	TBC1 domain family member 4 OS=Homo sapiens OX=9606 GN=TBC1D4 PE=1 SV=2	50C	319.1	355	395	353.3	377	398.2	419.8	375.4	472.8	11	11	7
O95801	Tetratricopeptide repeat protein 4 OS=Homo sapiens OX=9606 GN=TTC4 PE=1 SV=3	50C	334.5	433.8	339.4	322.2	551.7	352.5	581.3	315.4	404.8	11	14	9
O95881	Thioredoxin domain-containing protein 12 OS=Homo sapiens OX=9606 GN=TXNDC12 PE=1 SV=1	50C	795.6	736.3	817.7	781.8	788.3	757	838.8	818.1	734.4	9	22	10
O14530	Thioredoxin domain-containing protein 9 OS=Homo sapiens OX=9606 GN=TXNDC9 PE=1 SV=2	50C	1122.5	1052.4	1482.2	1307.6	1022.2	1360.5	997.7	1230.9	1469.9	10	21	10
O43396	Thioredoxin-like protein 1 OS=Homo sapiens OX=9606 GN=TXNL1 PE=1 SV=3	50C	1001.4	972.7	1124.8	1114.4	1105.1	1090.6	1094.9	1092.8	1288	10	19	10
P23919	Thymidylate kinase OS=Homo sapiens OX=9606 GN=DTYMK PE=1 SV=4	50C	1254.6	1161.4	1536.6	1404.9	1115.6	1354.8	1084.7	1351.8	1448.5	11	31	12
P04818	Thymidylate synthase OS=Homo sapiens OX=9606 GN=TYMS PE=1 SV=3	50C	268.6	363.2	350.4	322.7	396.2	324.5	442	343.1	377.9	8	12	8
O14656	Torsin-1A OS=Homo sapiens OX=9606 GN=TOR1A PE=1 SV=1	50C	264.2	305.1	227.9	207.5	310.4	236.5	398	221.5	234.4	3	7	4
O14657	Torsin-1B OS=Homo sapiens OX=9606 GN=TOR1B PE=1 SV=2	50C	238.8	236.4	248.8	234.5	236.1	235.1	267.9	242.4	252.2	6	8	6
O94842	TOX high mobility group box family member 4 OS=Homo sapiens OX=9606 GN=TOX4 PE=1 SV=1	50C	481.3	378.6	491.8	441.3	391.8	427.7	416.5	478	478.2	8	9	8
O43715	TP53-regulated inhibitor of apoptosis 1 OS=Homo sapiens OX=9606 GN=TRIAP1 PE=1 SV=1	50C	489.2	444	604.8	530.5	433.8	548.9	437	522.8	561.2	5	10	5
O14545	TRAF-type zinc finger domain-containing protein 1 OS=Homo sapiens OX=9606 GN=TRAFD1 PE=1 SV=1	50C	1141.9	988.4	1367.3	1219.9	991.8	1200.5	935.8	1169.2	1308.1	16	30	16
O43493	Trans-Golgi network integral membrane protein 2 OS=Homo sapiens OX=9606 GN=TGOLN2 PE=1 SV=4	50C	440.6	676.3	359.9	364.8	783.6	303.4	842.7	313.4	270.7	8	15	8
P23193	Transcription elongation factor A protein 1 OS=Homo sapiens OX=9606 GN=TCEA1 PE=1 SV=2	50C	2978.5	2611.4	3098.6	3204.8	2814.5	2891.6	2881.2	3473.1	3493.2	16	65	21
O00267	Transcription elongation factor SPT5 OS=Homo sapiens OX=9606 GN=SUPT5H PE=1 SV=1	50C	2004.2	1835.5	2379.5	2092.1	1930.5	2276.3	1989.8	2083.2	2705.5	32	46	28
O14776	Transcription elongation regulator 1 OS=Homo sapiens OX=9606 GN=TCERG1 PE=1 SV=2	50C	743.8	844.9	843.1	796.3	927.9	817.5	1298.1	829.7	927.9	18	25	17
O00716	Transcription factor E2F3 OS=Homo sapiens OX=9606 GN=E2F3 PE=1 SV=1	50C	430.2	405.5	380.7	358.5	428.2	373.3	468.6	440	491.7	6	8	5
P17535	Transcription factor JunD OS=Homo sapiens OX=9606 GN=JUND PE=1 SV=3	50C	203.9	236.5	185	193.9	207.7	192.3	235.4	239.7	239.8	2	3	2
O15164	Transcription intermediary factor 1-alpha OS=Homo sapiens OX=9606 GN=TRIM24 PE=1 SV=3	50C	133	155.1	187.2	137.1	164.7	135.3	160.3	132.9	165.8	6	7	7
O14867	Transcription regulator protein BACH1 OS=Homo sapiens OX=9606 GN=BACH1 PE=1 SV=2	50C	597	504.9	669.4	624.9	526.9	577.1	534.2	643.2	776.3	12	13	9
P25490	Transcriptional repressor protein YY1 OS=Homo sapiens OX=9606 GN=YY1 PE=1 SV=2	50C	206.1	177	228.3	223.3	209.3	210.8	209	246.3	256.3	5	5	5
P01137	Transforming growth factor beta-1 proprotein OS=Homo sapiens OX=9606 GN=TGFB1 PE=1 SV=2	50C	1308.8	1100.9	1683.8	1452.5	1104.9	1484.9	839.8	1315.9	1484.4	11	19	11
P13693	Translationally-controlled tumor protein OS=Homo sapiens OX=9606 GN=TPT1 PE=1 SV=1	50C	2476.3	2503.3	3187.6	2968	2490.8	2724.9	2263.7	2848.1	3159.3	5	53	9
P22102	Trifunctional purine biosynthetic protein adenosine-3 OS=Homo sapiens OX=9606 GN=GART PE=1 SV=1	50C	5533.7	5039.2	6157.6	6065.2	5417.5	6188.5	5476.3	6453.1	7430.2	39	132	50
O14773	Tripeptidyl-peptidase 1 OS=Homo sapiens OX=9606 GN=TPP1 PE=1 SV=2	50C	880.4	719.5	744.6	736.2	671.4	696.9	701.1	749.5	740.3	7	17	8
P23381	Tryptophan--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=WARS1 PE=1 SV=2	50C	6232.9	4753.3	6969.2	7267.8	5493	6567.1	5194.3	7788	7982.4	18	96	24
O75157	TSC22 domain family protein 2 OS=Homo sapiens OX=9606 GN=TSC22D2 PE=1 SV=3	50C	554.6	523.2	691.9	620.9	520.9	630.3	473.2	596.1	701	8	19	8
P07437	Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2	50C	5691	5534.1	7602.2	5845	4666.6	5888.2	4543.2	5382	7178.9	4	666	10
P04350	Tubulin beta-4A chain OS=Homo sapiens OX=9606 GN=TUBB4A PE=1 SV=2	50C	267.3	228.8	376.2	279.6	268	336.6	270.7	266.2	409.6	2	509	4
P23258	Tubulin gamma-1 chain OS=Homo sapiens OX=9606 GN=TUBG1 PE=1 SV=2	50C	335.3	374.9	424.8	384.5	474.9	444.6	522.1	394.7	486.7	9	16	9
P07948	Tyrosine-protein kinase Lyn OS=Homo sapiens OX=9606 GN=LYN PE=1 SV=3	50C	294.6	391.6	393.8	355.1	414.4	350.7	441.5	344.4	383.8	7	11	7
P18031	Tyrosine-protein phosphatase non-receptor type 1 OS=Homo sapiens OX=9606 GN=PTPN1 PE=1 SV=1	50C	262.4	394.3	282.4	259.1	450.4	278.3	516.3	281.6	291.9	9	11	8
P08621	U1 small nuclear ribonucleoprotein 70 kDa OS=Homo sapiens OX=9606 GN=SNRNP70 PE=1 SV=2	50C	1169.3	1714.9	1355.4	1052	2270.5	1211.8	2463.8	1366.7	1502.4	15	30	16
P09012	U1 small nuclear ribonucleoprotein A OS=Homo sapiens OX=9606 GN=SNRPA PE=1 SV=3	50C	904.2	949.9	937.3	927	1096.5	866.7	1303.2	988.5	1038.2	6	24	9
P09234	U1 small nuclear ribonucleoprotein C OS=Homo sapiens OX=9606 GN=SNRPC PE=1 SV=1	50C	618.9	589.9	826.3	765.3	636.1	755.5	687.6	711.8	795.2	3	13	4
P08579	U2 small nuclear ribonucleoprotein B'' OS=Homo sapiens OX=9606 GN=SNRPB2 PE=1 SV=1	50C	1166.8	1080.8	1270.2	1193.6	1142.7	1133.5	1260.1	1284.2	1287.1	6	19	10
O00566	U3 small nucleolar ribonucleoprotein protein MPP10 OS=Homo sapiens OX=9606 GN=MPHOSPH10 PE=1 SV=2	50C	711.7	1117.5	441	430.4	1222.5	418.6	1291.9	427.4	369.7	11	15	9
O43395	U4/U6 small nuclear ribonucleoprotein Prp3 OS=Homo sapiens OX=9606 GN=PRPF3 PE=1 SV=2	50C	577.5	736.7	657	595.8	834.8	615.5	918.8	590.3	729.4	12	14	10
O43172	U4/U6 small nuclear ribonucleoprotein Prp4 OS=Homo sapiens OX=9606 GN=PRPF4 PE=1 SV=2	50C	434.1	499	474	438.2	576	492	623	482.7	510.9	8	11	7
O43290	U4/U6.U5 tri-snRNP-associated protein 1 OS=Homo sapiens OX=9606 GN=SART1 PE=1 SV=1	50C	3216.8	3384.2	3761.1	3769.2	3608.8	3651.2	3887	3775.8	4175.7	30	63	32
